KEY	VALUE	COMMENTS
__id	jp	
		
		AMERICANS START HERE
am.adj.eth	アメリカ	
am.noun.sing.m	アメリカ人	
am.noun.sing.f	アメリカ人	
am.noun.pl	アメリカ人	
		
am.firstname.m	ロバート	
am.firstname.m	ジョン	
am.firstname.m	ジェームズ	
am.firstname.m	ウィリアム	
am.firstname.m	チャールズ	
am.firstname.m	ジョージ	
am.firstname.m	ジョセフ	
am.firstname.m	リチャード	
am.firstname.m	エドワード	
am.firstname.m	ドナルド	
am.firstname.m	トマス	
am.firstname.m	フランク	
am.firstname.m	ハロルド	
am.firstname.m	ポール	
am.firstname.m	レイモンド	
am.firstname.m	ウォルター	
am.firstname.m	ジャック	
am.firstname.m	ヘンリー	
am.firstname.m	ケネス	
am.firstname.m	アーサー	
am.firstname.m	アルバート	
am.firstname.m	デビッド	
am.firstname.m	ハリー	
am.firstname.m	ユージーン	
am.firstname.m	ラルフ	
am.firstname.m	ハワード	
am.firstname.m	カール	
am.firstname.m	ウィリー	
am.firstname.m	ルイス	
am.firstname.m	クラレンス	
am.firstname.m	アール	
am.firstname.m	ロイ	
am.firstname.m	フレッド	
am.firstname.m	ジョージ	
am.firstname.m	フランシス	
am.firstname.m	ローレンス	
am.firstname.m	ハーバート	
am.firstname.m	レオナルド	
am.firstname.m	アーネスト	
am.firstname.m	アルフレッド	
am.firstname.m	アンソニー	
am.firstname.m	スタンリー	
am.firstname.m	ノーマン	
am.firstname.m	ジェラルド	
am.firstname.m	ダニエル	
am.firstname.m	サミュエル	
am.firstname.m	バーナード	
am.firstname.m	ビリー	
am.firstname.m	メルヴィン	
am.firstname.m	マーヴィン	
am.firstname.m	ウォーレン	
am.firstname.m	マイケル	
am.firstname.m	リーロイ	
am.firstname.m	ラッセル	
am.firstname.m	レオ	
am.firstname.m	アンドリュー	
am.firstname.m	エドウィン	
am.firstname.m	エルマー	
am.firstname.m	ピーター	
am.firstname.m	フロイド	
am.firstname.m	ロイド	
am.firstname.m	レイ	
am.firstname.m	フレデリック	
am.firstname.m	セオドア	
am.firstname.m	クリフォード	
am.firstname.m	ヴァーノン	
am.firstname.m	ハーマン	
am.firstname.m	クライド	
am.firstname.m	チェスター	
am.firstname.m	フィリップ	
am.firstname.m	アルヴィン	
am.firstname.m	レスター	
am.firstname.m	ウェイン	
am.firstname.m	ヴィンセント	
am.firstname.m	ゴードン	
am.firstname.m	レオン	
am.firstname.m	ルイス	
am.firstname.m	チャーリー	
am.firstname.m	グレン	
am.firstname.m	カルヴィン	
am.firstname.m	マーティン	
am.firstname.m	ミルトン	
am.firstname.m	リー	
am.firstname.m	ジェシー	
am.firstname.m	デール	
am.firstname.m	セシル	
am.firstname.m	ビル	
am.firstname.m	ハーヴェイ	
am.firstname.m	ロジャー	
am.firstname.m	ヴィクター	
am.firstname.m	ベンジャミン	
am.firstname.m	ウォレス	
am.firstname.m	ロナルド	
am.firstname.m	サム	
am.firstname.m	アレン	
am.firstname.m	アーノルド	
am.firstname.m	ウィラード	
am.firstname.m	ギルバート	
am.firstname.m	エドガー	
am.firstname.m	オスカー	
		
am.firstname.f	メアリー	
am.firstname.f	ドロシー	
am.firstname.f	ヘレン	
am.firstname.f	ベティ	
am.firstname.f	マーガレット	
am.firstname.f	ルース	
am.firstname.f	ヴァージニア	
am.firstname.f	ドリス	
am.firstname.f	ミルドレッド	
am.firstname.f	フランシス	
am.firstname.f	エリザベス	
am.firstname.f	イヴリン	
am.firstname.f	アンナ	
am.firstname.f	マリー	
am.firstname.f	アリス	
am.firstname.f	ジーン	
am.firstname.f	シャーリー	
am.firstname.f	バーバラ	
am.firstname.f	イレーネ	
am.firstname.f	マージョリー 	
am.firstname.f	フローレンス	
am.firstname.f	ロイス	
am.firstname.f	マーサ	
am.firstname.f	ローズ	
am.firstname.f	リリアン	
am.firstname.f	ルイーズ	
am.firstname.f	キャサリン	
am.firstname.f	ルビー	
am.firstname.f	エレノア	
am.firstname.f	パトリシア	
am.firstname.f	グラディス 	
am.firstname.f	アニー	
am.firstname.f	ジョセフィーヌ	
am.firstname.f	テルマ	
am.firstname.f	エドナ	
am.firstname.f	ノーマ   	
am.firstname.f	ポーリン	
am.firstname.f	ルシール 	
am.firstname.f	イーディス	
am.firstname.f	グロリア	
am.firstname.f	エセル	
am.firstname.f	フィリス	
am.firstname.f	グレース	
am.firstname.f	ヘイゼル	
am.firstname.f	ジューン	
am.firstname.f	バーニス	
am.firstname.f	マリオン	
am.firstname.f	ドロレス	
am.firstname.f	リタ	
am.firstname.f	ロレイン	
am.firstname.f	アン	
am.firstname.f	エスター	
am.firstname.f	ベアトリス	
am.firstname.f	アニータ	
am.firstname.f	クララ	
am.firstname.f	ジェーン	
am.firstname.f	ジェラルディーン 	
am.firstname.f	サラ	
am.firstname.f	エマ	
am.firstname.f	ジョアン	
am.firstname.f	ジョイス	
am.firstname.f	ナンシー	
am.firstname.f	キャサリン	
am.firstname.f	ガートルード	
am.firstname.f	エルシー	
am.firstname.f	ジュリア	
am.firstname.f	アグネス	
am.firstname.f	ウィルマ	
am.firstname.f	マリアン	
am.firstname.f	ベルタ	
am.firstname.f	エヴァ	
am.firstname.f	ウィリー	
am.firstname.f	オードリー	
am.firstname.f	テレサ	
am.firstname.f	ヴィヴィアン	
am.firstname.f	ワンダ	
am.firstname.f	ローラ	
am.firstname.f	シャーロット	
am.firstname.f	アイダ	
am.firstname.f	エレイン	
am.firstname.f	アンネ	
am.firstname.f	マリリン	
am.firstname.f	キャスリン	
am.firstname.f	マクシーン	
am.firstname.f	キャスリーン	
am.firstname.f	ヴィオラ	
am.firstname.f	パール	
am.firstname.f	ヴェラ	
am.firstname.f	ベッシー	
am.firstname.f	マートル	
am.firstname.f	アルマ	
am.firstname.f	ビバリー	
am.firstname.f	バイオレット	
am.firstname.f	ネリー	
am.firstname.f	エラ	
am.firstname.f	リリー	
am.firstname.f	ジェシー	
am.firstname.f	ジャンヌ	
am.firstname.f	アイリーン	
am.firstname.f	エレン	
		
am.lastname	アダムス	
am.lastname	アレン	
am.lastname	アンダーソン	
am.lastname	アンドリュー	
am.lastname	アームストロング	
am.lastname	アーノルド	
am.lastname	バグリー	
am.lastname	ベイカー	
am.lastname	バンクス	
am.lastname	バロン	
am.lastname	バリー	
am.lastname	ベイツ	
am.lastname	ベル	
am.lastname	ベネット	
am.lastname	ベスト	
am.lastname	バード	
am.lastname	ビショップ	
am.lastname	ブラック	
am.lastname	ボルト	
am.lastname	ブーン	
am.lastname	ボウマン	
am.lastname	ブラッドショー	
am.lastname	ブレイディ	
am.lastname	ブロデリック	
am.lastname	ブルックス	
am.lastname	ブラウン	
am.lastname	バーク	
am.lastname	バーネット	
am.lastname	バーンズ	
am.lastname	バートン	
am.lastname	バトラー	
am.lastname	バーン	
am.lastname	キャンベル	
am.lastname	カーペンター	
am.lastname	カー	
am.lastname	カーター	
am.lastname	ケーシー	
am.lastname	チェンバース	
am.lastname	チャップマン	
am.lastname	クラーク	
am.lastname	クリアリー	
am.lastname	コクラン	
am.lastname	コールマン	
am.lastname	コリンズ	
am.lastname	コナーズ	
am.lastname	コンウェイ	
am.lastname	クック	
am.lastname	クレイマー	
am.lastname	カニンガム	
am.lastname	デイヴィス	
am.lastname	ドーソン	
am.lastname	デイ	
am.lastname	ディー	
am.lastname	ダイアモンド	
am.lastname	ディッカーソン 	
am.lastname	ダドリー	
am.lastname	ダン	
am.lastname	エドワード	
am.lastname	エリス	
am.lastname	エヴァンス	
am.lastname	フェアファクス	
am.lastname	ファーリー 	
am.lastname	フェントン	
am.lastname	フィッシャー	
am.lastname	フレミング	
am.lastname	フラッド	
am.lastname	フリン	
am.lastname	フォード	
am.lastname	フォスター	
am.lastname	フランクリン	
am.lastname	ギャラガー	
am.lastname	ギブス	
am.lastname	ギルバート	
am.lastname	ギルマン	
am.lastname	ギルロイ	
am.lastname	グレン	
am.lastname	ゴッドフリー	
am.lastname	グッド	
am.lastname	グッドマン	
am.lastname	グラハム	
am.lastname	グレイ	
am.lastname	グリーン	
am.lastname	グロス	
am.lastname	ハイト	
am.lastname	ヘインズ	
am.lastname	ヘイリー	
am.lastname	ホール	
am.lastname	ハミルトン	
am.lastname	ハムリン	
am.lastname	ハリス	
am.lastname	ハリスン	
am.lastname	ハート	
am.lastname	ホーキンス	
am.lastname	ヘインズ	
am.lastname	ヘイズ	
am.lastname	ヒートン	
am.lastname	ヘンダーソン	
am.lastname	ヘンリー	
am.lastname	ヘンソン	
am.lastname	ヒューイット	
am.lastname	ヒル	
am.lastname	ヒル	
am.lastname	ヒルアン	
am.lastname	ハインズ	
am.lastname	ホルマン	
am.lastname	ホーガン	
am.lastname	ホプキンス	
am.lastname	ヒューストン	
am.lastname	ハワード	
am.lastname	ハウエル	
am.lastname	ハバード	
am.lastname	ヒューズ	
am.lastname	ハント	
am.lastname	ハンター	
am.lastname	ハッチンソン	
am.lastname	イングラム	
am.lastname	ジャックソン	
am.lastname	ジェームズ	
am.lastname	ジェームス	
am.lastname	ジェンキンス	
am.lastname	ジョンソン	
am.lastname	ジョーンズ	
am.lastname	ジョーンズ	
am.lastname	ケリー	
am.lastname	キング	
am.lastname	ナイト	
am.lastname	クレイマー	
am.lastname	カイル	
am.lastname	ラング	
am.lastname	ローレンス	
am.lastname	リー	
am.lastname	リー	
am.lastname	レスター	
am.lastname	ルイス	
am.lastname	リンデン	
am.lastname	リヴィングストン	
am.lastname	ロイド	
am.lastname	ローガン	
am.lastname	ルーカス	
am.lastname	マニング	
am.lastname	マーティン	
am.lastname	メイソン	
am.lastname	マクスウェル	
am.lastname	メレル	
am.lastname	マイヤーズ	
am.lastname	ミラー	
am.lastname	ミッチェル	
am.lastname	モントゴメリー	
am.lastname	ムーア	
am.lastname	モーガン	
am.lastname	モース	
am.lastname	モス	
am.lastname	マーフィー	
am.lastname	マイアーズ	
am.lastname	ネルソン	
am.lastname	ニコルソン	
am.lastname	ニコラス	
am.lastname	ニクソン	
am.lastname	パーマー	
am.lastname	パーク	
am.lastname	パーカー	
am.lastname	ピアース	
am.lastname	ポッツ	
am.lastname	パウエル	
am.lastname	プライス	
am.lastname	パットナム	
am.lastname	ランドール	
am.lastname	レイ	
am.lastname	リード	
am.lastname	レイノルズ	
am.lastname	ローズ	
am.lastname	ライス	
am.lastname	リチャードソン	
am.lastname	ロバーツ	
am.lastname	ロビンソン	
am.lastname	ロス	
am.lastname	ロイヤル	
am.lastname	ラッセル	
am.lastname	ライアン	
am.lastname	サンダース	
am.lastname	スコット	
am.lastname	シャープ	
am.lastname	ショー	
am.lastname	シールズ	
am.lastname	シモンズ	
am.lastname	シモンズ	
am.lastname	シンプソン	
am.lastname	スミス	
am.lastname	スミス	
am.lastname	スポルディング	
am.lastname	スペンサー	
am.lastname	スティーヴンソン	
am.lastname	スチュアート	
am.lastname	サリヴァン	
am.lastname	テイラー	
am.lastname	トーマス	
am.lastname	トンプソン	
am.lastname	ターナー	
am.lastname	タイラー	
am.lastname	アーバン	
am.lastname	ウォーカー	
am.lastname	ウォール	
am.lastname	ウォルシュ	
am.lastname	ウォルター	
am.lastname	ウォルトン	
am.lastname	ワシントン	
am.lastname	ウィーバー	
am.lastname	ウェーバー	
am.lastname	ウェブスター	
am.lastname	ウェスト	
am.lastname	ウィーラー	
am.lastname	ホワイト	
am.lastname	ウィリアムズ	
am.lastname	ウィルソン	
am.lastname	ライト	
am.lastname	ヤング	
am.lastname	パスコスキ	
am.lastname	ブロック	
am.lastname	コンクリング	
am.lastname	フィルモ	
am.lastname	ラスキー	
am.lastname	マリオン	
am.lastname	メイヨー	
am.lastname	ロビンソン	
am.lastname	アンダーウッド	
		
		
		ENGLISH START HERE
		
en.adj.eth	イングランド	
en.noun.sing.m	イングランド人	
en.noun.sing.f	イングランド人	
en.noun.pl	イングランド人	
		
en.firstname.m	ジョン	
en.firstname.m	ウィリアム	
en.firstname.m	ジョージ	
en.firstname.m	ジェームス	
en.firstname.m	トマス	
en.firstname.m	ロナルド	
en.firstname.m	ケネス	
en.firstname.m	ロバート	
en.firstname.m	アーサー	
en.firstname.m	フレデリック	
en.firstname.m	ピーター	
en.firstname.m	エドワード	
en.firstname.m	アルバート	
en.firstname.m	チャールズ	
en.firstname.m	レスリー	
en.firstname.m	ジョセフ	
en.firstname.m	スタンリー	
en.firstname.m	エリック	
en.firstname.m	フランク	
en.firstname.m	デニス	
en.firstname.m	デヴィッド	
en.firstname.m	ノーマン	
en.firstname.m	アーネスト	
en.firstname.m	ヘンリー	
en.firstname.m	レオナルド	
en.firstname.m	ハロルド	
en.firstname.m	アルフレッド	
en.firstname.m	レイモンド	
en.firstname.m	ドナルド	
en.firstname.m	ハリー	
en.firstname.m	レジナルド	
en.firstname.m	リチャード	
en.firstname.m	ジャック	
en.firstname.m	ウォルター	
en.firstname.m	シリル	
en.firstname.m	ジェフリー	
en.firstname.m	アラン	
en.firstname.m	ダグラス	
en.firstname.m	ゴードン	
en.firstname.m	マイケル	
en.firstname.m	ロイ	
en.firstname.m	バーナード	
en.firstname.m	フランシス	
en.firstname.m	パトリック	
en.firstname.m	シドニー	
en.firstname.m	ハーバート	
en.firstname.m	モーリス	
en.firstname.m	クリフォード	
en.firstname.m	アンソニー	
en.firstname.m	ヴィクター	
en.firstname.m	ジェラルド	
en.firstname.m	デレク	
en.firstname.m	フィリップ	
en.firstname.m	アレクサンダー	
en.firstname.m	ウィルフレッド	
en.firstname.m	エドウィン	
en.firstname.m	サミュエル	
en.firstname.m	デニス	
en.firstname.m	シドニー	
en.firstname.m	セシル	
en.firstname.m	コリン	
en.firstname.m	ローレンス	
en.firstname.m	フレッド	
en.firstname.m	ラルフ	
en.firstname.m	デズモンド	
en.firstname.m	ブライアン	
en.firstname.m	パーシー	
en.firstname.m	テレンス	
en.firstname.m	クリストファー	
en.firstname.m	ホレス	
en.firstname.m	ヒュー	
en.firstname.m	ダニエル	
en.firstname.m	アンドリュー	
en.firstname.m	デリック	
en.firstname.m	アラン	
en.firstname.m	ステファン	
en.firstname.m	アイヴァー	
en.firstname.m	ヴィンセント	
en.firstname.m	トレヴァー	
en.firstname.m	ベイジル	
en.firstname.m	アーノルド	
en.firstname.m	ローランド	
en.firstname.m	ベンジャミン	
en.firstname.m	エドガー	
en.firstname.m	イアン	
en.firstname.m	キース	
en.firstname.m	ヒューバート	
en.firstname.m	ポール	
en.firstname.m	マーティン	
en.firstname.m	ライオネル	
en.firstname.m	モハメッド	
en.firstname.m	グラハム	
en.firstname.m	ハワード	
en.firstname.m	アレク	
en.firstname.m	ギルバート	
en.firstname.m	エドムント	
en.firstname.m	アイヴァン	
en.firstname.m	ルイス	
en.firstname.m	オーウェン	
en.firstname.m	ローレンス	
		
en.firstname.f	マーガレット	
en.firstname.f	メアリー	
en.firstname.f	ジョアン	
en.firstname.f	ジョイス	
en.firstname.f	ドロシー	
en.firstname.f	キャスリーン	
en.firstname.f	ドリス	
en.firstname.f	イレーネ	
en.firstname.f	エリザベス	
en.firstname.f	アイリーン	
en.firstname.f	ベティー	
en.firstname.f	ジーン	
en.firstname.f	マージョリー	
en.firstname.f	グラディス	
en.firstname.f	ドリーン	
en.firstname.f	ベラ	
en.firstname.f	エルシー	
en.firstname.f	バーバラ	
en.firstname.f	ウィニフレッド 	
en.firstname.f	エドナ	
en.firstname.f	オードリー	
en.firstname.f	エディス	
en.firstname.f	フローレンス	
en.firstname.f	フィリス	
en.firstname.f	リリアン	
en.firstname.f	ヒルダ	
en.firstname.f	オリーブ	
en.firstname.f	アニー	
en.firstname.f	バイオレット	
en.firstname.f	アリス	
en.firstname.f	パトリシア	
en.firstname.f	アイビー	
en.firstname.f	マリエル	
en.firstname.f	アイリス	
en.firstname.f	エブリン	
en.firstname.f	ペギー	
en.firstname.f	キャサリン 	
en.firstname.f	エセル	
en.firstname.f	ベリル	
en.firstname.f	グウェンドリン	
en.firstname.f	エレン	
en.firstname.f	シルヴィア	
en.firstname.f	シェイラ	
en.firstname.f	ローズ	
en.firstname.f	コンスタンス	
en.firstname.f	フランシス	
en.firstname.f	リリー	
en.firstname.f	フレーダ	
en.firstname.f	マリオン	
en.firstname.f	ナンシー	
en.firstname.f	グレース	
en.firstname.f	ベアトリス	
en.firstname.f	サラ	
en.firstname.f	アグネス	
en.firstname.f	ルース	
en.firstname.f	メイ	
en.firstname.f	ノラ	
en.firstname.f	ブレンダ	
en.firstname.f	ジェシー	
en.firstname.f	パメラ	
en.firstname.f	アンネ	
en.firstname.f	ヘレン	
en.firstname.f	マリー	
en.firstname.f	メイベル	
en.firstname.f	エヴァ	
en.firstname.f	マリア	
en.firstname.f	ルビー	
en.firstname.f	ネリー	
en.firstname.f	ヘイゼル	
en.firstname.f	エミリー	
en.firstname.f	ジョセフィーヌ	
en.firstname.f	ダフネー	
en.firstname.f	ジェーン	
en.firstname.f	エイダ	
en.firstname.f	ポーリン	
en.firstname.f	アン	
en.firstname.f	イーニッド	
en.firstname.f	ガートルード	
en.firstname.f	リタ	
en.firstname.f	ジューン	
en.firstname.f	ステラ	
en.firstname.f	ノラ	
en.firstname.f	メイヴィス	
en.firstname.f	テルマ	
en.firstname.f	ミルドレッド	
en.firstname.f	ブリジット	
en.firstname.f	モニカ	
en.firstname.f	デイジー	
en.firstname.f	エレノア	
en.firstname.f	リリアン	
en.firstname.f	アルマ	
en.firstname.f	ルーシー	
en.firstname.f	ドーラ	
en.firstname.f	クリスティーン	
en.firstname.f	モーリーン	
en.firstname.f	ジャネット	
en.firstname.f	ローズマリー	
en.firstname.f	ハンナ	
en.firstname.f	シビル	
en.firstname.f	エイミー	
		
en.lastname	コービン	
en.lastname	スミス	
en.lastname	ブラウン	
en.lastname	テイラー	
en.lastname	ジョンソン	
en.lastname	ウォーカー	
en.lastname	ライト	
en.lastname	トンプソン	
en.lastname	ロビンソン	
en.lastname	ホワイト	
en.lastname	ホール	
en.lastname	グリーン	
en.lastname	マーティン	
en.lastname	ウッド	
en.lastname	ハリス	
